circulatingSupply,marketCap,maxSupply,name,price,ticker,website
"
17,174,400
","140,553,400,416","
21,000,000
",Bitcoin,8183.89,(BTC),https://bitcoin.org/
"
39,315,683,476
","17,962,942,623","
99,991,900,487
",XRP,0.456890,(XRP),https://ripple.com/xrp/
"
896,149,492
","7,514,410,645","
900,000,000
",EOS,8.39,(EOS),https://eos.io/
"
57,593,207
","4,882,959,429","
84,000,000
",Litecoin,84.78,(LTC),https://litecoin.com
"
2,779,530,283
","2,813,190,395","
2,779,530,283
",IOTA,1.01,(MIOTA),https://www.iota.org/
"
17,260,200
","14,148,548,404","
21,000,000
",Bitcoin Cash,819.72,(BCH),https://www.bitcoincash.org/
"
100,954,523
","47,239,246,129",,Ethereum,467.93,(ETH),https://www.ethereum.org/
"
65,748,111,645
","2,413,435,659","
99,000,000,000
",TRON,0.036707,(TRX),https://tron.network/
"
16,263,719
","2,290,061,676",,Monero,140.81,(XMR),http://www.monero.cc
"
18,767,431,429
","6,016,313,028","
104,144,920,420
",Stellar,0.320572,(XLM),https://www.stellar.org
"
65,000,000
","2,185,378,000","
100,000,000
",NEO,33.62,(NEO),https://neo.org/
"
25,927,070,538
","4,325,957,646","
31,112,483,745
",Cardano,0.166851,(ADA),https://www.cardano.org
"
8,218,135
","2,012,498,036","
18,900,000
",Dash,244.88,(DASH),https://www.dash.org/
"
103,340,766
","1,759,355,873",,Ethereum Classic,17.02,(ETC),https://ethereumclassic.org/
"
8,999,999,999
","1,596,429,000",,NEM,0.177381,(XEM),http://nem.io
"
2,507,140,346
","2,502,379,286","
3,080,109,502
",Tether,0.998101,(USDT),https://tether.to
"
554,545,494
","1,397,365,916","
873,378,637
",VeChain,2.52,(VEN),https://www.vechain.org/
"
95,512,523
","1,330,374,832","
192,443,301
",Binance Coin,13.93,(BNB),https://www.binance.com/
"
607,489,041
","1,268,212,346","
763,306,930
",Tezos,2.09,(XTZ),https://www.tezos.com/
"
140,245,398
","982,869,202",,OmiseGO,7.01,(OMG),https://omg.omise.co/
"
4,445,544
","973,289,566",,Zcash,218.94,(ZEC),https://z.cash/
"
88,664,516
","691,978,669","
100,664,516
",Qtum,7.80,(QTUM),https://qtum.org/
"
536,789,901
","614,543,918","
1,000,000,000
",0x,1.14,(ZRX),https://0xproject.com/
"
7,576,552,268
","571,684,963","
12,600,000,000
",Zilliqa,0.075454,(ZIL),https://www.zilliqa.com/
"
183,890,481,254
","567,359,141","
184,470,000,000
",Bytecoin,0.003085,(BCN),https://bytecoin.org/
"
17,145,874
","544,806,704","
17,245,874
",Bitcoin Gold,31.77,(BTG),https://bitcoingold.org/
"
108,425,024
","533,206,079","
123,670,672
",Lisk,4.92,(LSK),https://lisk.io/
"
2,644,980,000
","523,052,730","
3,600,570,502
",BitShares,0.197753,(BTS),https://bitshares.org
"
8,150,941
","519,697,494","
21,000,000
",Decred,63.76,(DCR),https://www.decred.org/
"
151,292,175
","511,813,863","
1,000,000,000
",Ontology,3.38,(ONT),https://ont.io/
"
387,431,340
","501,801,072","
800,460,000
",ICON,1.30,(ICX),https://www.icon.foundation/
"
233,020,472
","459,924,157","
273,685,830
 ",Aeternity,1.97,(AE),https://www.aeternity.com/
"
10,580,637,193
","448,572,462","
21,000,000,000
",DigiByte,0.042396,(DGB),http://www.digibyte.io/
"
668,228
","424,931,385","
1,000,000
",Maker,635.91,(MKR),https://makerdao.com/
"
115,461,392,845
","396,793,468",,Dogecoin,0.003437,(DOGE),http://dogecoin.com/
"
266,235,430
","391,320,821","
283,209,524
",Steem,1.47,(STEEM),https://steem.com/
"
35,911,327,100
","371,520,635",,Siacoin,0.010346,(SC),https://sia.tech/
"
15,172,086,051
","366,187,400","
16,555,000,000
",Verge,0.024136,(XVG),http://vergecurrency.com/
"
1,002,499,275
","357,569,436","
1,407,000,000
",Bytom,0.356678,(BTM),http://bytom.io/
"
153,756,875
","324,293,238","
156,756,875
",Bitcoin Diamond,2.11,(BCD),http://btcd.io/
"
11,000,000
","336,870,600",,Augur,30.62,(REP),http://www.augur.net/
"
1,000,000,000
","321,394,000","
1,500,000,000
",Basic Attention Token,0.321394,(BAT),https://basicattentiontoken.org/
"
356,761,850
","301,509,072","
1,000,000,000
",Mithril,0.845127,(MITH),https://mith.io/
"
133,248,289
","301,764,736","
133,248,290
",Nano,2.26,(NANO),http://nano.org/en
"
959,242,000
 ","290,075,740","
1,000,000,000
",Golem,0.302401,(GNT),https://golem.network/
"
87,487,145,429
","286,469,659","
280,755,195,000
",Pundi X,0.003274,(NPXS),https://pundix.com/
"
98,950,660
","281,202,934",,Stratis,2.84,(STRAT),http://stratisplatform.com/
"
100,000,000
","263,943,000",,Waves,2.64,(WAVES),https://wavesplatform.com/
"
90,730,576
","251,852,655","
180,730,576
",KuCoin Shares,2.78,(KCS),https://www.kucoin.com/
"
360,956,217
","250,489,898","
870,663,574
",RChain,0.693962,(RHOC),https://www.rchain.coop/
"
40,144,099
","248,679,850","
70,000,000
",Waltonchain,6.19,(WTC),http://www.waltonchain.org/
"
3,470,483,788
","241,958,312","
6,804,870,174
",Status,0.069719,(SNT),http://status.im/
"
8,400,000,000
","235,141,200","
21,000,000,000
",IOST,0.027993,(IOST),http://iost.io/
"
43,282,714
","233,823,611","
84,000,000
",Hshare,5.40,(HSR),https://h.cash/
"
452,552,412
","214,851,068",,MaidSafeCoin,0.474754,(MAID),http://maidsafe.net
"
106,152,493
","208,712,785","
210,000,000
",Wanchain,1.97,(WAN),https://wanchain.org/
"
37,004,027
","208,017,767","
53,252,246
",Populous,5.62,(PPT),http://populous.co/
"
440,383
","189,906,771","
1,000,000
",Mixin,431.23,(XIN),https://mixin.one/
"
2,000,000
","187,891,000",,DigixDAO,93.95,(DGD),https://digix.global/
"
250,000,000
","182,544,500","
280,000,000
",aelf,0.730178,(ELF),http://aelf.io/
"
998,999,495
","177,255,477","
998,999,495
",Ardor,0.177433,(ARDR),https://www.ardorplatform.org/
"
108,593,125
","173,073,550",,Komodo,1.59,(KMD),https://komodoplatform.com/
"
50,000,200
","169,873,679","
500,000,000
",Huobi Token,3.40,(HT),https://www.huobi.pro/
"
60,000,000
","166,006,800","
100,000,000
",GXChain,2.77,(GXS),https://gxs.gxb.io/en/
"
188,769,272
","160,661,527","
465,934,587
",Aion,0.851100,(AION),https://aion.network/
"
20,499,542
","154,141,588","
21,000,000
",Bitcoin Private,7.52,(BTCP),https://btcprivate.org
"
45,500,000
","152,436,375","
100,000,000
",Nebulas,3.35,(NAS),https://nebulas.io/
"
572,074,043
","151,419,418","
1,374,956,262
",Loopring,0.264685,(LRC),https://loopring.org
"
35,897,055
","143,279,144","
56,483,386
",MOAC,3.99,(MOAC),http://moac.io/
"
4,366,788
","138,232,405","
21,000,000
",ZenCash,31.66,(ZEN),https://zencash.com/
"
45,389,656
","138,631,356","
106,827,281
",Cryptonex,3.05,(CNX),https://cryptonex.org/
"
1,050,141,509
","135,601,623","
2,644,403,343
",Decentraland,0.129127,(MANA),https://decentraland.org/
"
756,097,560,976
","136,669,171","
10,000,000,000,000
",Kin,0.000181,(KIN),http://kinecosystem.org/
"
61,145,975
","135,406,538",,MonaCoin,2.21,(MONA),http://monacoin.org
"
42,076,610
","134,367,447",,Emercoin,3.19,(EMC),http://emercoin.com/
"
104,114,056
","129,052,496","
135,364,056
",Ark,1.24,(ARK),http://ark.io/
"
930,851,783
","128,247,174","
1,850,000,000
",WAX,0.137774,(WAX),https://wax.io/
"
5,010,848,189
","125,605,929","
10,999,873,621
",FunFair,0.025067,(FUN),https://funfair.io/
"
28,808,713,174
","122,586,260",,ReddCoin,0.004255,(RDD),http://www.reddcoin.com/
"
56,781,166
","121,746,769",,PIVX,2.14,(PIVX),http://www.pivx.org
"
134,132,697
","121,681,025","
215,625,349
",Kyber Network,0.907169,(KNC),https://kyber.network/
"
325,226,613,094
","119,676,564","
1,963,173,416,169
",Dentacoin,0.000368,(DCN),http://www.dentacoin.com/
"
15,793,831
","118,536,967","
31,587,682
",MCO,7.51,(MCO),https://mco.crypto.com/
"
373,755,607
","117,383,928","
1,000,000,000
",Power Ledger,0.314066,(POWR),https://powerledger.io/
"
51,281,921
","116,062,268","
75,935,743
",Bancor,2.26,(BNT),https://bancor.network/
"
587,164,556
","115,235,741","
1,000,000,000
",Loom Network,0.196258,(LOOM),https://loomx.io/
"
20,317,249,982
","114,499,691","
30,000,000,000
",Dropil,0.005636,(DROP),https://dropil.com
"
68,428,768
","106,369,099","
150,000,000
",Paypex,1.55,(PAYX),https://paypex.org/
"
133,214,575,156
","105,481,032","
177,619,433,541
",Holo,0.000792,(HOT),https://holochain.org/
"
276,420,107
","105,003,430","
1,000,000,000
",Polymath,0.379869,(POLY),https://www.polymath.network/
"
694,798,400
","103,137,264","
1,000,000,000
",CyberMiles,0.148442,(CMT),https://www.cybermiles.io/
"
10,128,375
","103,209,155","
17,190,378
",Gas,10.19,(GAS),https://neo.org/
"
998,999,942
","104,231,658","
1,000,000,000
",Nxt,0.104336,(NXT),https://nxt.org/
"
40,000,000
","101,800,000",,Nuls,2.54,(NULS),https://nuls.io/
"
109,200,361
","96,581,822","
205,218,256
",TenX,0.884446,(PAY),https://www.tenx.tech/
"
350,000,000
","95,933,950","
1,000,000,000
",ChainLink,0.274097,(LINK),https://smartcontract.com/
"
104,342,466
","95,424,211","
269,944,749
",Bibox Token,0.914529,(BIX),https://www.bibox.com/
"
7,504,882,442
","92,891,682","
21,000,000,000
",Electroneum,0.012377,(ETN),http://electroneum.com/
"
74,836,171
","92,244,561","
150,000,000
",Enigma,1.23,(ENG),https://enigma.co/
"
662,811
","90,337,130","
1,000,000
",Byteball Bytes,136.29,(GBYTE),https://byteball.org/
"
146,000,000
","33,471,084","
200,000,000
",Tokenomy,0.229254,(TEN),https://www.tokenomy.com/
"
198,993
","33,292,703",,Unobtanium,167.31,(UNO),http://unobtanium.uno
"
5,330,110
","89,694,020","
33,784,144
",Elastos,16.83,(ELA),https://www.elastos.org/
"
25,240,243
","32,993,036","
66,588,888
",Metal,1.31,(MTL),https://www.metalpay.com/
"
664,002,689
","88,706,111","
1,000,000,000
",Theta Token,0.133593,(THETA),https://www.thetatoken.org/
"
2,163,833,975
","32,676,922","
 10,000,000,000
",Mainframe,0.015101,(MFT),https://mainframe.com/
"
3,726,781
","32,267,773","
4,436,644
",Genesis Vision,8.66,(GVT),https://genesis.vision/
"
537,426,150
","87,793,936","
888,000,000
",Syscoin,0.163360,(SYS),http://syscoin.org
"
350,000,000
","87,004,400","
1,000,000,000
",QASH,0.248584,(QASH),https://liquid.plus/
"
193,230,567
","32,112,795","
350,000,000
",SophiaTX,0.166189,(SPHTX),https://www.sophiatx.com/
"
440,057,074
","86,755,492","
1,000,000,000
",Scry.info,0.197146,(DDD),https://home.scry.info/
"
52,000,000
","32,101,888","
65,000,000
",Quantum Resistant Ledger,0.617344,(QRL),https://theqrl.org/
"
45,669,710
","86,364,619","
55,905,056
",Metaverse ETP,1.89,(ETP),https://mvs.org/
"
500,149,871
","32,025,497","
1,008,787,338
",GoChain,0.064032,(GO),https://gochain.io/
"
5,280,486
","86,177,536","
21,400,000
",ZCoin,16.32,(XZC),https://zcoin.io
"
249,353,534
","31,705,801",,WhiteCoin,0.127152,(XWC),http://whitecoin.info/
"
58,447,015
","85,564,092",,Nexus,1.46,(NXS),http://www.nexusearth.com/
"
10,614,760,961
","31,551,315","
100,000,000,000
",Dent,0.002972,(DENT),https://www.dentcoin.com/
"
2,036,645
","85,268,235","
100,000,000
",Veritaseum,41.87,(VERI),http://veritas.veritaseum.com/
"
138,268,126
","31,531,217","
249,471,071
",Credits,0.228044,(CS),https://credits.com/en
"
533,786,482
","83,671,031","
1,000,000,000
",Gifto,0.156750,(GTO),https://gifto.io/
"
393,051,949
","30,858,351","
900,000,000
",Rock,0.078510,(RKT),https://gbx.gi/
"
77,351,941
","82,430,869","
222,295,208
",Ethos,1.07,(ETHOS),https://www.ethos.io/
"
2,428,461,491
","30,595,701","
5,999,999,954
",Selfkey,0.012599,(KEY),https://selfkey.org/
"
790,906,715
","81,573,328","
1,200,000,000
",Centrality,0.103139,(CENNZ),https://www.centrality.ai/
"
23,073,952
","30,451,618","
23,176,392
",Viacoin,1.32,(VIA),http://viacoin.org
"
149,792,458
","81,131,040","
299,792,458
",Cortex,0.541623,(CTXC),http://www.cortexlabs.ai/
"
15,638,907
","30,412,983","
17,093,134
",Bitcore,1.94,(BTX),http://bitcore.cc/
"
1,053,773,052
","80,404,886","
1,654,817,331
",SmartCash,0.076302,(SMART),https://smartcash.cc/
"
217,324,021
","30,126,977",,Einsteinium,0.138627,(EMC2),https://www.emc2.foundation/
"
383,021,000
","78,357,670","
472,000,000
",Substratum,0.204578,(SUB),https://substratum.net/
"
145,912,366
","30,007,024","
700,000,000
",NKN,0.205651,(NKN),https://nkn.org/
"
8,745,102
","78,072,598",,Factom,8.93,(FCT),http://factom.org/
"
73,430,701
","29,499,903","
100,000,000
",AdEx,0.401738,(ADX),https://www.adex.network/
"
4,494,529,635
","75,156,176","
10,000,000,000
",Storm,0.016722,(STORM),https://stormtoken.com/
"
1,099,946,877
","29,247,367","
1,299,999,942
",ETHLend,0.026590,(LEND),https://ethlend.io/
"
37,302,632
","75,124,517","
100,000,000
",High Performance Blockchain,2.01,(HPB),http://www.gxn.io/
"
376,765,852
","28,832,949","
999,999,999
",CPChain,0.076527,(CPC),http://www.cpchain.io/
"
179,017,071
","71,981,869","
268,946,131
",ODEM,0.402095,(ODE),https://odem.io/
"
1,076,141,972
","28,793,039","
5,000,000,000
",Soarcoin,0.026756,(SOAR),http://soarlabs.org/
"
761,444,190
","70,647,325","
2,000,000,000
",Game.com,0.092781,(GTC),http://game.com/
"
531,344,681
","28,769,392","
1,469,247,736
",Endor Protocol,0.054144,(EDR),https://www.endor.com/
"
1,102,115,896
","69,531,059","
2,147,483,648
",CyberVein,0.063089,(CVT),http://www.cybervein.org/
"
31,529,118,324
","28,750,615","
100,000,000,000
",Telcoin,0.000912,(TEL),https://www.telco.in/
"
29,684,331
","69,529,015","
57,344,000
",Fusion,2.34,(FSN),https://fusion.org/
"
2,385,386,915
","28,616,294","
5,000,000,000
",Refereum,0.011997,(RFR),https://refereum.com/
"
64,893,677
","68,507,606","
120,000,000
",SALT,1.06,(SALT),https://www.saltlending.com/
"
14,736,400
","28,542,344",,Namecoin,1.94,(NMC),https://www.namecoin.org/
"
135,787,539
","67,658,857","
424,999,998
",Storj,0.498270,(STORJ),https://storj.io/
"
82,353,022
","28,491,263","
1,007,949,847
",Nectar,0.345965,(NEC),https://www.ethfinex.com/
"
238,421,940
","67,319,150","
433,494,437
",Dragonchain,0.282353,(DRGN),https://dragonchain.com/
"
527,511,653
","28,376,856","
1,000,000,000
",IHT Real Estate Protocol,0.053794,(IHT),https://ihtcoin.com/
