address,description,dimensions,homeType,price,pricePerSqF,realtor,realtorGroup,url,yearBuilt
8749 Linden Rd Del Valle TX 78617,"One of the most Beautiful Houses in the area within minutes to Austin, Main house has 5 bedrooms, 4.5 baths, Large kitchen with granite counter tops, custom cabinets, stainless steel appliances, marble floors, office, game room, amazing master bedroom, and bathroom.  The 2nd house could be used as an income property or guest house, it has 2 bedrooms 2 bath and private entrance. The workshop was used for a commercial business, has 2 large separate rooms and own bath. New roof 2018!!!","7 beds, 6 full and 2 half baths, 5,153 sq ft, 2.51 acres lot",Single Family Home,540000,$105,,,https://www.realtor.com/realestateandhomes-detail/8749-Linden-Rd_Del-Valle_TX_78617_M72012-19648,2005
Upland Sun Chase 50s 15512 Cottage Orchid Ln Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,253990,$156,,,https://www.realtor.com/realestateandhomes-detail/Upland_Sun-Chase-50s_15512-Cottage-Orchid-Ln_Del-Valle_TX_78617_P412662452731,
6808 Plains Crest Dr Del Valle TX 78617,"Beautiful 3 bed 2.5 bath home in great location, spacious family room with vaulted ceilings, kitchen opens to family room, large dining area in kitchen, plenty of counter & cabinet space, beautiful open rails going up staircase, enormous master bedroom & closet, separate tub & shower, over sized 2nd & 3rd bedrooms, covered front & back porch, huge back yard, minutes from Bergstrom International Airport, Circuit of the Americas, Tollway 130 & HWY 71, pride of ownership shows, must see this amazing home","3 beds, 2 full and 1 half baths, 1,422 sq ft, 5,184 sqft lot",Single Family Home,194800,$137,Francis Quiroz,RE/MAX VISION,https://www.realtor.com/realestateandhomes-detail/6808-Plains-Crest-Dr_Del-Valle_TX_78617_M86166-97535,2013
Abby Sun Chase 50s 15512 Cottage Orchid Ln Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,255990,$151,,,https://www.realtor.com/realestateandhomes-detail/Abby_Sun-Chase-50s_15512-Cottage-Orchid-Ln_Del-Valle_TX_78617_P412734069129,
12521 La Paz Del Valle TX 78617,"Spacious 1 story home in peaceful & convenient Los Cielos neighborhood. Nearby spots include Barkley Meadows Park, Southeast Metropolitan Park & McKinney Falls State Park. Plus, Circuit of the Americas & Austin360 Amphitheater are less than 3 miles away! Plenty of shopping, including an HEB Plus! grocery store just 9 miles away & Southpark Meadows. Home features 2 living areas divided by large kitchen & dining + large backyard waiting for your green thumb. No neighbor behind. Newer roof & HVAC system.",USD,Single Family Home,185000,$129,Rita Little,Realty Austin,https://www.realtor.com/realestateandhomes-detail/12521-La-Paz_Del-Valle_TX_78617_M84249-06146,2007
11612 Maybach Dr Del Valle TX 78617,"Great little 1 story home. 3 bedrooms, Seq. Master bedroom, Large master bath, walk-in closet. Vaulted ceiling in den with fireplace that opens to kitchen and breakfast area. Kitchen appliances are negotiable. 2 car front entry garage, some updates with tile flooring and painting. Good storage. Seller wants an AS IS SALE. Buyer would be responsible for any repairs after inspections. yard, fast access to airport and highways.","3 beds, 2 full baths, 1,201 sq ft, 7,362 sqft lot",Single Family Home,175000,$146,Chris Beckett,Pine & Beckett Realtors Austin,https://www.realtor.com/realestateandhomes-detail/11612-Maybach-Dr_Del-Valle_TX_78617_M73409-10620,1997
14601 Fm 812 Del Valle TX 78617,"Approximately 99 beautifully-maintained acres within 2 miles of the Circuit of the Americas in the growing FM 812 corridor. A working ranch with main home, cabanas, rental home and mobile home, this property has 1,474 ft of visibility along FM 812. W/in City of Austin 2-Mile ETJ. Maintained pastures, ponds, fenced and cross-fenced for livestock, barns, covered RV parking, stalls, runs and outbuildings. Estate conveying As-Is. Endless possibilities for this impressive property in an excellent location.","4 beds, 3 full baths, 3,290 sq ft, 97.79 acres lot",Farms/Ranches,1800000,$547,Gretchen Lynn Janzow,Realty Austin,https://www.realtor.com/realestateandhomes-detail/14601-Fm-812_Del-Valle_TX_78617_M71031-80626,1950
136 Maldonado Trl Del Valle TX 78617,"Gorgeous, Custom Estate with High End Finishes and Guest Home!!! Main home features 3 bedrooms plus Study PLUS HUGE Bonus room (can be used as 5 bedrooms, etc.) plus 2 baths. Guest home features 1 bedroom Plus bonus room, 1 bath and kitchenette. Backyard is FULLY Fenced! Tons of possibilities, extended family, separate living quarters for older kids, entertaining, or anything you can imagine. Check out the 3D Virtual Matterport Tour and floorplans of the home and also guest home as video tour. Come See!","4 beds, 3 full baths, 3,022 sq ft, 1.01 acres lot",Single Family Home,349900,$116,"Ramon ""Ray"" Quezada",Q Realty Austin,https://www.realtor.com/realestateandhomes-detail/136-Maldonado-Trl_Del-Valle_TX_78617_M76489-79759,2005
7113 Apperson St Del Valle TX 78617,"Perfect starter home or investment property in great condition. Fresh paint, new vinyl wood-look floors, new carpet, granite counters and subway tile backsplash in kitchen. Master suite with walk-in closet and double vanity. MIL floor plan. Fenced yard. Roof replaced 2016. Move-in ready!","3 beds, 2 full baths, 1,325 sq ft, 7,754 sqft lot",Single Family Home,169900,$128,Lisa M. Harrell,"Juice Homes, Llc",https://www.realtor.com/realestateandhomes-detail/7113-Apperson-St_Del-Valle_TX_78617_M73303-27093,1996
Roffe Sun Chase 50s 15512 Cottage Orchid Ln Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,246990,$165,,,https://www.realtor.com/realestateandhomes-detail/Roffe_Sun-Chase-50s_15512-Cottage-Orchid-Ln_Del-Valle_TX_78617_P414034055830,
13113 Vizquel Loop Del Valle TX 78617,,"4 beds, 2 full and 1 half baths, 2,652 sq ft, 6,795 sqft lot",Single Family Home,215000,$81,Michael Levitin,Zing Ventures Real Property,https://www.realtor.com/realestateandhomes-detail/13113-Vizquel-Loop_Del-Valle_TX_78617_M70585-29576,2002
7309 Iwanna Dr Del Valle TX 78617,"Beautifully maintained home minutes from Toll 130, Circuit of the Americas and ABIA. This 3 BD/2.5 BA boasts updates that make you feel right at home! Interior offers recent flooring updates, fresh paint & multiple living areas. Exterior was recently painted and backyard offers a HUGE covered back patio that your friends and family will love! Additional 20X20 slab is ready for your workshop, storage room or outdoor BBQ. Home qualifies for special financing, schedule a private showing today!","3 beds, 2 full and 1 half baths, 1,586 sq ft, 6,360 sqft lot",Single Family Home,190000,$120,Benjamin Kinney,Keller Williams Realty,https://www.realtor.com/realestateandhomes-detail/7309-Iwanna-Dr_Del-Valle_TX_78617_M72302-66784,2003
12508 Mexicana Cv Del Valle TX 78617,"Beautiful, spacious 3 bedroom, 2.5 bath, 2 living areas. 2nd living area can be used for office or a 4th bedroom. In close proximity to Austin . Quiet cul-de-sac. New interior and exterior paint. New fixtures, stainless steel appliances, new laminate flooring on 1st floor and carpet on 2nd floor, Crown molding in living and kitchen area. Home qualifies for Austin's first time home-buyer down payment assistance program.","3 beds, 2 full and 1 half baths, 1,659 sq ft, 4,748 sqft lot",Single Family Home,194900,$117,Ruben Ortega,"Ortega Real Estate,Inc",https://www.realtor.com/realestateandhomes-detail/12508-Mexicana-Cv_Del-Valle_TX_78617_M78529-26267,2005
13600 Alysheba Dr Del Valle TX 78617,"Affordable home in Berdoll Farms!  3 bed, 2.5 bath, open floor-plan, bamboo floors, attached garage with bike air pump, large back deck.  Guest bath tub, faucet, and tile replaced in 2018.  Double vanities and porcelain tile in master bath along with two master walk-in closets.  Wired for security, surround sound, carpet upstairs replaced in 2016.  Great floorplan that's move-in ready!  Del Valle schools, community pool and playground, close to 130 toll.","3 beds, 2 full and 1 half baths, 1,595 sq ft, 4,400 sqft lot",Single Family Home,200000,$125,Kasey Jorgenson,Keller Williams Realty-Rr,https://www.realtor.com/realestateandhomes-detail/13600-Alysheba-Dr_Del-Valle_TX_78617_M73754-48781,2002
10719 San Jose Ave Del Valle TX 78617,"11 Acres with over 800' of SH 130 frontage. Could be used for Commercial, Residential, or Pasture.",11.01 acres lot,Farms/Ranches,350000,No Info,Regan Burris,Keller Williams Realty,https://www.realtor.com/realestateandhomes-detail/10719-San-Jose-Ave_Del-Valle_TX_78617_M74053-01948,
13700 Pearce Ln Del Valle TX 78617,"Urban farm dream come true!!! This beautiful piece of property is perfect for an urban farm and minutes to the airport, downtown Austin and the Circuit of the Americas.  There is a beautiful creek which runs through the property, gorgeous trees and plenty of cleared area (previously used for farming).  Place your home on the 1.15 acre outside the floodplain and enjoy the rest of the property for farming and recreation!  This property truly is a dream come true!  Mobile home to be moved off property.",12.78 acres lot,Farms/Ranches,268380,No Info,Rachel Clampffer,RE/MAX BASTROP AREA,https://www.realtor.com/realestateandhomes-detail/13700-Pearce-Ln_Del-Valle_TX_78617_M76281-47179,
321 Forest Lake Dr Del Valle TX 78617,"Beautiful new custom home on one acre of land. Spacious open floor plan with 3 bedrooms, 2 full baths, 1 half bath. spacious kitchen with quartz countertops and custom cabinets, game room, computer area,  ceiling fans in all bedrooms. balcony overlooking pond.","3 beds, 2 full and 1 half baths, 2,300 sq ft, 0.97 acres lot",Single Family Home,330000,$143,Arthur Rodriguez,Texas Ally Real Estate Group,https://www.realtor.com/realestateandhomes-detail/321-Forest-Lake-Dr_Del-Valle_TX_78617_M79337-02014,2018
15707 FM 812 Del Valle TX 78617,Secluded acreage tract in far SE Travis County.  Long 30' access strip.  Main portion of the property has approximate dimensions of 341' x 1831' (14.33 Acres).,17.5 acres lot,Farms/Ranches,195000,No Info,MARK SAWYER,Keller Williams Realty,https://www.realtor.com/realestateandhomes-detail/15707-FM-812_Del-Valle_TX_78617_M89148-88386,
133 Acapulco Dr Del Valle TX 78617,"GORGEOUS NEW BUILD!! 4 BEDROOM ON NEAR ONE ACRE WITH FEW RESTRICTIONS AND NO HOA! Minutes from downtown and a 3 min. drive to Circuit of the Americas! Custom build, beautiful tile flooring, vaulted entryway, formal dining, granite counter tops, SS appliances, covered patio. Vaulted ceilings & recessed lighting, custom tile bath, tile flooring, carpet in the bedrooms, full utility room and 2 car garage..Must see!","4 beds, 3 full baths, 2,600 sq ft, 0.75 acres lot",Single Family Home,419900,$162,Andy Patlan,Citywide Realty,https://www.realtor.com/realestateandhomes-detail/133-Acapulco-Dr_Del-Valle_TX_78617_M78563-49290,2018
13428 Lipton Loop Del Valle TX 78617,"One-story, 3 bedroom, 2 bath backing a greenbelt.  Front porch, open floorplan.  Hard surface floors through out, no carpet.  Great for those allergy sufferers and to beat that Texas heat.  Family room open to island kitchen and dining area with tile floors.  Hardwood flooring in all the bedrooms.  Large, fenced back yard backs a greenbelt.  Storage shed conveys.","3 beds, 2 full baths, 1,491 sq ft, 6,578 sqft lot",Single Family Home,190000,$127,"Betsy Doss, Agent",RE/MAX CAPITAL CITY,https://www.realtor.com/realestateandhomes-detail/13428-Lipton-Loop_Del-Valle_TX_78617_M83365-48596,2009
7224 Proud Panda Dr Del Valle TX 78617,"Gorgeous 3 bed, 2 bath home, priced under $200k and under 30 minutes to Downtown! Extremely well maintained with granite counter tops and stainless steel appliances. You will love its features like wood flooring in the living room, an open floor plan, and a huge master bed and bath. A very large, fenced backyard makes this the perfect spot for kids or entertaining. Convenient location near the Austin 360 Amphitheater, major toll roads, and the elementary school. Come see it for yourself!","3 beds, 2 full baths, 1,403 sq ft, 0.25 acres lot",Single Family Home,184000,$131,Aaron Jistel,Listing Spark,https://www.realtor.com/realestateandhomes-detail/7224-Proud-Panda-Dr_Del-Valle_TX_78617_M71699-64038,1999
12808 Quirin Dr Del Valle TX 78617,"Spacious home with great floor plan- ready to move in! New paint, new granite counters in kitchen and bathroom, new mosaic Tile backsplash, all tile downstairs. Kitchen has island, lots of counter & cabinet space and is open to family room with fireplace. Huge master closet, walk in pantry. Fenced backyard.","3 beds, 2 full and 1 half baths, 2,481 sq ft, 5,750 sqft lot",Single Family Home,214900,$87,Kelly Burney,Blue Door Properties,https://www.realtor.com/realestateandhomes-detail/12808-Quirin-Dr_Del-Valle_TX_78617_M88028-22026,2002
Noel Bain Cv Del Valle TX 78617,"Beautifully maintained home! Spacious rooms throughout, with high ceilings, large kitchen & plenty of natural light.  The kitchen is very open to the living area and boast beautiful granite counter tops.  There is also a study on the main floor.  Master bath has double vanity. Located on a quiet private cove, with welcoming neighbors, family oriented community. Near F1 events.","4 beds, 2 full and 1 half baths, 2,587 sq ft, 5,097 sqft lot",Single Family Home,269900,$104,Michael Harrell,Keller Williams Realty,https://www.realtor.com/realestateandhomes-detail/Noel-Bain-Cv_Del-Valle_TX_78617_M71455-63068,2016
13020 Lofton Cliff Dr Del Valle TX 78617,"Where else can you be this close to Austin and get this much sqft for under $200K?  Take advantage now.  Downstairs updated with wood like flooring.  Large master with separate tub and shower.  Front room can be a study, formal dining, or formal living.  All hard surface flooring downstairs and at the stairs.  It also has a loft plus 3 bedrooms upstairs.  Large storage in the back and a large concrete patio.  Schedule a viewing today.","3 beds, 2 full and 1 half baths, 2,351 sq ft, 5,750 sqft lot",Single Family Home,199777,$85,Cesar Gonzalez,Keller Williams Realty-Gt,https://www.realtor.com/realestateandhomes-detail/13020-Lofton-Cliff-Dr_Del-Valle_TX_78617_M70204-43783,2002
10112 Peterson Rd Del Valle TX 78617,"Extraordinary opportunity on beautiful 27 acre lot *NOT in the FEMA FLOOD PLAIN* Just southeast of Downtown Austin, 2.8 miles from the Circuit of the Americas! Fantastic flat land development opportunity with endless surrounding field views. Perfect as well for residential use to build your perfect estate with a quick commute to Austin & the Airport.",27.0 acres lot,,625000,42 days,Tomas Corzo,Keller Williams Realty,https://www.realtor.com/realestateandhomes-detail/10112-Peterson-Rd_Del-Valle_TX_78617_M86991-13871,
12216 Stoney Meadow Dr Del Valle TX 78617,"Beautiful Dr Horton home in the Stoney Ridge community! Home offers 3 bedroom, 2.5 Bath, large corner lot with covered patio. Kitchen has granite countertops, 36"" cabinets, ceramic tile backsplash with island. Spacious master bedroom with double doors, walk in closet, marble garden tub & separate shower.","3 beds, 2 full and 1 half baths, 1,401 sq ft, 9,235 sqft lot",Single Family Home,197500,$141,Rocio Enriquez,Realty Austin,https://www.realtor.com/realestateandhomes-detail/12216-Stoney-Meadow-Dr_Del-Valle_TX_78617_M86174-80120,2014
6705 Moores Ferry Dr Del Valle TX 78617,"Located on Highway 130 between State Highway 71 and State Highway 45 just east of IH-35, The Trails at Stoney Ridge offers incredible nearby recreational and entertainment opportunities such as: camping and hiking at McKinney Falls State Park; checking out a concert at Austin 360 amphitheater at Circuit of the Americas raceway; and learning more about local history at the Old Moore Crossing. A variety of restaurants and shopping destinations are a short drive away in south Austin or Buda.","4 beds, 3 full and 1 half baths, 2,466 sq ft, 4,966 sqft lot",Single Family Home,270000,$109,Ricardo Martinez,Keller Williams Realty,https://www.realtor.com/realestateandhomes-detail/6705-Moores-Ferry-Dr_Del-Valle_TX_78617_M71473-89099,2015
248 Privada Dr Del Valle TX 78617,"Two Single Story Homes on nearly 5 acres.  Main house 5 bedrooms/3 full baths, two master suites (one w/private entrance).  Large country kitchen with granite counter tops, quite country living within 25 minutes of Austin or Bastrop.  2nd house Could Be Used As an INCOME Property or a Guest House.  It has 2 bedrooms & 1 bath, kitchen w/granite counter tops, Owner leased 2nd house for COTA events, agent has more info on that. AC main house replaced 2016, three storage sheds on property with a Greenhouse.","7 beds, 4 full baths, 3,535 sq ft, 4.99 acres lot",Single Family Home,504000,$143,,,https://www.realtor.com/realestateandhomes-detail/248-Privada-Dr_Del-Valle_TX_78617_M86015-60897?ex=TX634151835,1980
12721 Sky Harbor Dr Del Valle TX 78617,,"4 beds, 2 full baths, 1,586 sq ft, 5,401 sqft lot",Single Family Home,174900,$110,John Rodriguez,Rakh Properties,https://www.realtor.com/realestateandhomes-detail/12721-Sky-Harbor-Dr_Del-Valle_TX_78617_M84303-39300,2006
2721 Citation Dr Del Valle TX 78617,"Beautiful 3 acre land with private Colorado River access less than 13 miles from downtown Austin and no zoning! Quiet, no noise from neighbors and walk down to your own river access. Utilities in place- septic, water, electric all working. There is a 3 bed, 2 bath home there that has no value and entire property is in the floodplain. Plumbing, water, septic, and electric are all currently down at the river in the perfect place to build a home on stilts, or bring your RVs, horses, or for recreational use.","3 beds, 1 full and 1 half baths, 840 sq ft, 2.89 acres lot",Farms/Ranches,175000,$208,Austin Davis,RE/MAX 1,https://www.realtor.com/realestateandhomes-detail/2721-Citation-Dr_Del-Valle_TX_78617_M86123-24153?ex=TX633973099,1973
3401 Victorine Ln Del Valle TX 78617,"One-of-a-kind estate on the Colorado River. Imagine living in the ultimate river paradise, only 15 miles from downtown Austin. Nestled in privacy, you get   1000' of river frontage, 3400+sf home, scores of heritage trees, storage, pastures, fences, nighttime views of Austin, and more. Most of land sits high out of the flood plain. No restrictions. Endless possibilities. Organic Farm/Ranch/Wedding Venue/Tiny Homes/River Lodge/Fish Camp/etc. Electric/water/cable/septic on property.","4 beds, 4 full baths, 3,424 sq ft, 27.27 acres lot",Farms/Ranches,1199500,$350,Gregory Tran,Keller Williams Realty,https://www.realtor.com/realestateandhomes-detail/3401-Victorine-Ln_Del-Valle_TX_78617_M70378-69874?ex=TX633759803,1970
San Jose Ave Del Valle TX 78617,"1.3062 acres located on Lonesome Lane and San Jose Avenue. Additional 2 acres (parcel #:298921) located next to the property will need to sell together. Lot has access through Lonesome Lane, but road is not developed. Contact county for more information.",1.36 acres lot,,85000,59 days,Josefina Lopez,Varela Properties,https://www.realtor.com/realestateandhomes-detail/San-Jose-Ave_Del-Valle_TX_78617_M78919-54712,
Winsdale Sun Chase 40s 15512 Cottage Orchid Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,253990,$106,,,https://www.realtor.com/realestateandhomes-detail/Winsdale_Sun-Chase-40s_15512-Cottage-Orchid_Del-Valle_TX_78617_P412268653530,
Pineview Sun Chase 40s 15512 Cottage Orchid Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,248990,$109,,,https://www.realtor.com/realestateandhomes-detail/Pineview_Sun-Chase-40s_15512-Cottage-Orchid_Del-Valle_TX_78617_P412059557291,
7709 Timber Hills Dr Del Valle TX 78617,"You will never find another like this ONE-OF-A-KIND property, WITH 6.5 ACRES!! LIGHT RESTRICTIONS AND NO HOA!! 4 bedrooms, 2 baths, high ceilings, large master bedroom with garden tub and walk-in shower! Gorgeous rolling hills, plenty of trees and walking paths to the property. Just minutes from downtown, gorgeous rolling hills, and only minutes from COTA. Check it out!","4 beds, 2 full baths, 2,500 sq ft, 6.54 acres lot",Single Family Home,599999,$240,Andy Patlan,Citywide Realty,https://www.realtor.com/realestateandhomes-detail/7709-Timber-Hills-Dr_Del-Valle_TX_78617_M71376-60733,2007
Bartlett Sun Chase 50s 15512 Cottage Orchid Ln Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,287990,$116,,,https://www.realtor.com/realestateandhomes-detail/Bartlett_Sun-Chase-50s_15512-Cottage-Orchid-Ln_Del-Valle_TX_78617_P413173917982,
Connor Sun Chase 50s 15512 Cottage Orchid Ln Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,299990,$107,,,https://www.realtor.com/realestateandhomes-detail/Connor_Sun-Chase-50s_15512-Cottage-Orchid-Ln_Del-Valle_TX_78617_P415928950725,
Madison Sun Chase 50s 15512 Cottage Orchid Ln Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,273990,$134,,,https://www.realtor.com/realestateandhomes-detail/Madison_Sun-Chase-50s_15512-Cottage-Orchid-Ln_Del-Valle_TX_78617_P413488527307,
